dra,ddec,mag
-5.18728,-5.92237,17.23
-5.16181,-5.91066,17.23
-5.136340000000001,-5.8989400000000005,17.23
-5.11086,-5.88722,17.24
-5.085369999999999,-5.8755,17.24
-5.059880000000001,-5.86377,17.24
-5.0343800000000005,-5.85205,17.24
-5.00888,-5.84031,17.24
-4.98337,-5.8285800000000005,17.24
-4.95785,-5.81685,17.24
-4.93233,-5.80511,17.24
-4.9068,-5.79336,17.24
-4.88126,-5.781619999999999,17.24
-4.85572,-5.76987,17.24
-4.83018,-5.75812,17.24
-4.80463,-5.74637,17.24
-4.77907,-5.73461,17.24
-4.7535,-5.72286,17.24
-4.727930000000001,-5.7111,17.25
-4.70236,-5.699330000000001,17.25
-4.67678,-5.68757,17.25
-4.65119,-5.6758,17.25
-4.6256,-5.66403,17.25
-4.6,-5.65225,17.25
-4.57439,-5.64047,17.25
-4.548780000000001,-5.6287,17.25
-4.5231699999999995,-5.61691,17.25
-4.49755,-5.60513,17.25
-4.47192,-5.59334,17.25
-4.44629,-5.58155,17.25
-4.42065,-5.56976,17.25
-4.39501,-5.55797,17.25
-4.36937,-5.54617,17.25
-4.34371,-5.53437,17.25
-4.31806,-5.52257,17.26
-4.29239,-5.51077,17.26
-4.266719999999999,-5.49896,17.26
-4.24105,-5.48715,17.26
-4.21537,-5.47534,17.26
-4.189690000000001,-5.46353,17.26
-4.164,-5.45171,17.26
-4.13831,-5.43989,17.26
-4.11261,-5.42807,17.26
-4.0869,-5.41625,17.26
-4.0612,-5.4044300000000005,17.26
-4.035480000000001,-5.3926,17.26
-4.00976,-5.38077,17.26
-3.9840400000000002,-5.36894,17.26
-3.95831,-5.3571,17.26
-3.93258,-5.345269999999999,17.26
-3.9068400000000003,-5.33343,17.27
-3.8811,-5.3215900000000005,17.27
-3.8553599999999997,-5.30975,17.27
-3.8296,-5.2979,17.27
-3.80385,-5.28606,17.27
-3.77809,-5.27421,17.27
-3.7523199999999997,-5.26236,17.27
-3.72655,-5.2505,17.27
-3.7007800000000004,-5.23865,17.27
-3.675,-5.22679,17.27
-3.6492199999999997,-5.214930000000001,17.27
-3.6234300000000004,-5.203069999999999,17.27
-3.59764,-5.19121,17.27
-3.5718400000000003,-5.17934,17.27
-3.54604,-5.16747,17.27
-3.5202400000000003,-5.1556,17.27
-3.4944300000000004,-5.143730000000001,17.27
-3.4686199999999996,-5.13186,17.28
-3.4428,-5.1199900000000005,17.28
-3.41698,-5.10811,17.28
-3.3911599999999997,-5.09623,17.28
